Country,Rank_15,Score_15,Rank_16,Score_16,Rank_17,Score_17,Rank_18,Score_18,Rank_19,Score_19,Capital
Croatia,62,5.7589999999999995,74,5.4879999999999995,77,5.2930002212524405,82,5.321000000000001,75,5.432,Zagreb
Cyprus,67,5.689,69,5.546,65,5.62099981307983,61,5.7620000000000005,49,6.046,Nicosia
Czech Republic,31,6.505,27,6.596,23,6.60900020599365,21,6.711,20,6.852,Prague
Denmark,3,7.527,1,7.526,2,7.52199983596802,3,7.555,2,7.6,Copenhagen
Dominican Republic,98,4.885,89,5.155,86,5.230000019073491,83,5.3020000000000005,77,5.425,Santo Domingo
Ecuador,48,5.975,51,5.976,44,6.00799989700317,48,5.973,50,6.028,Quito
Egypt,135,4.194,120,4.362,104,4.7350001335144,122,4.419,137,4.166,Cairo
El Salvador,42,6.13,46,6.068,45,6.002999782562259,40,6.167000000000001,35,6.252999999999999,San Salvador
Estonia,73,5.428999999999999,72,5.517,66,5.61100006103516,63,5.739,55,5.893,Tallinn
Ethiopia,122,4.512,115,4.508,119,4.46000003814697,127,4.35,134,4.2860000000000005,Addis Ababa
Finland,6,7.406000000000001,5,7.412999999999999,5,7.468999862670901,1,7.632000000000001,1,7.769,Helsinki
France,29,6.575,32,6.478,31,6.44199991226196,23,6.489,24,6.5920000000000005,Paris
Gabon,143,3.8960000000000004,134,4.121,118,4.46500015258789,103,4.758,104,4.7989999999999995,Libreville
Georgia,130,4.297,126,4.252,125,4.28599977493286,128,4.34,119,4.519,Tbilisi
Germany,26,6.75,16,6.994,16,6.9510002136230495,15,6.965,17,6.985,Berlin
Ghana,114,4.633,124,4.276,131,4.11999988555908,108,4.657,98,4.996,Accra
Greece,102,4.857,99,5.033,87,5.2270002365112305,79,5.358,82,5.287000000000001,Athens
Guatemala,43,6.122999999999999,39,6.324,29,6.4539999961853,30,6.382000000000001,27,6.436,Guatemala City
Guinea,150,3.656,151,3.6069999999999998,149,3.50699996948242,140,3.964,118,4.534,Conakry
Haiti,119,4.518,136,4.0280000000000005,145,3.6029999256133998,148,3.582,147,3.597,Port-au-Prince
Honduras,105,4.788,104,4.871,91,5.1810002326965305,72,5.504,59,5.86,Tegucigalpa
Hungary,104,4.8,91,5.145,75,5.32399988174438,69,5.62,62,5.757999999999999,Budapest
Iceland,2,7.561,3,7.501,3,7.50400018692017,4,7.495,4,7.494,Reykjavik
India,117,4.565,118,4.404,122,4.31500005722046,133,4.19,140,4.015,New Delhi
Indonesia,74,5.399,79,5.314,81,5.26200008392334,96,5.093,92,5.192,Jakarta
Iran,110,4.686,105,4.813,108,4.69199991226196,106,4.707,117,4.548,Tehran
Iraq,112,4.677,112,4.575,117,4.49700021743774,117,4.456,126,4.437,Baghdad
Ireland,18,6.94,19,6.907,15,6.9770002365112305,14,6.977,16,7.021,Dublin
Israel,11,7.278,11,7.267,11,7.212999820709231,19,6.814,13,7.138999999999999,Jerusalem
Italy,50,5.9479999999999995,50,5.977,48,5.96400022506714,47,6.0,36,6.223,Rome
Ivory Coast,151,3.655,139,3.9160000000000004,128,4.17999982833862,107,4.671,99,4.944,Yamoussoukro
Jamaica,65,5.709,73,5.51,76,5.31099987030029,56,5.89,56,5.89,Kingston
Japan,46,5.987,53,5.921,51,5.92000007629395,54,5.915,58,5.886,Tokyo
Jordan,82,5.192,80,5.303,74,5.33599996566772,90,5.1610000000000005,101,4.906000000000001,Amman
Kazakhstan,54,5.855,54,5.919,60,5.8189997673034695,60,5.79,60,5.809,Astana
Kenya,125,4.419,122,4.356,112,4.55299997329712,124,4.41,121,4.5089999999999995,Nairobi
Kosovo,69,5.5889999999999995,77,5.401,78,5.27899980545044,66,5.662000000000001,46,6.1,N.A.
Kuwait,39,6.295,41,6.239,39,6.10500001907349,45,6.082999999999999,51,6.021,Kuwait City
Kyrgyzstan,77,5.2860000000000005,85,5.185,98,5.0040001869201705,92,5.131,86,5.261,Bishkek
Latvia,89,5.098,68,5.56,54,5.849999904632571,53,5.933,53,5.94,Riga
Lebanon,103,4.8389999999999995,93,5.129,88,5.22499990463257,80,5.358,91,5.197,Beirut
Liberia,116,4.571000000000001,150,3.622,148,3.5329999923706095,149,3.495,141,3.975,Monrovia
Libya,63,5.754,67,5.615,68,5.525000095367429,70,5.566,72,5.525,Tripoli
Lithuania,56,5.832999999999999,60,5.813,52,5.90199995040894,50,5.952000000000001,42,6.149,Vilnius
